Label,FilmSimulation,Grain,CCFx/CCFxB,WhiteBalance,WBShiftR,WBShiftB,DynamicRange,HighlightTone,ShadowTone,Color,Sharpness,NoisReduction,ExposureBias
RR Kodacolor II 160,Classic,STRONG,STRONG/OFF,6300K,6,3,200,-1,3,-4,-4,-4,P0P67
RR Kodacolor S. Shore,Classic,STRONG,OFF,6300K,-1,-4,400,-1,2,0,2,-4,P0P67
RR Kodak Gold 200,Classic,STRONG,OFF,Daylight,4,-5,AUTO,-2,1,3,-2,-4,P1P00
RR Kodak Porta 400,Classic,STRONG,OFF,Auto,2,-5,400,-1,2,-2,1,-3,P1P00
RR Kodak Portra 160,Classic,WEAK,OFF,Daylight,4,-5,AUTO,-2,-2,1,-2,-4,P1P00
RR Urban Vintage Chrome,Classic,WEAK,OFF,4300K,-1,-3,200,0,2,-4,0,-4,P0P33
RS Kodacolor II 126,Classic,STRONG,STRONG/OFF,6300K,6,3,200,-1,3,-4,-4,-4,P0P67
RS Kodak Portra 400,Classic,STRONG,STRONG/OFF,Daylight,4,-5,AUTO,-1,-1,2,-2,-4,P0P67
RS Kodak Portra 400,Classic,STRONG,OFF,Daylight,4,-5,AUTO,-1,-1,2,-2,-4,P0P67
VM Classic Chrome,Classic,OFF,OFF,Auto,0,-1,200,1,2,2,-2,-2,0
VM K14,Classic,WEAK,OFF,Auto,0,-2,100,-1,0,-4,3,-4,0
GB Classy Neg,ClassicNEGA,WEAK,OFF/STRONG,Auto,0,0,400,-2,-2,2,1,-4,0
PLR Classic Nrg,ClassicNEGA,OFF,OFF,Auto,0,0,AUTO,-2,-2,0,0,0,0
GB The Cinema,Eterna,STRONG L,WEAK/WEAK,Auto,0,0,100,1,2,2,1,-2,0
MT Eterna,Eterna,OFF,OFF,Auto,2,-1,400,0,0,0,0,0,0
RR Eterna,Eterna,STRONG,WEAK/OFF,Auto,5,-6,100,4,4,4,2,-4,0
RR Eterna Expired,Eterna,STRONG,WEAK/OFF,Auto,5,5,100,4,4,4,-2,-4,0
RR Eterna Low Contrast,Eterna,STRONG,STRONG/OFF,5900K,-3,3,200,-2,-1,4,-4,-4,P0P33
RR Polaroid,Eterna,STRONG,OFF,Auto,5,-5,400,4,-2,-2,-1,-4,P1P00
RR Polaroid Film,Eterna,STRONG,STRONG/OFF,Shade,4,6,100,4,4,-3,-4,-4,M1P00
RS Kodak Vision3 250D,Eterna,STRONG,STRONG/OFF,FLight1,-3,-1,100,3,4,3,-2,-4,P0P33
VM Eterna,Eterna,WEAK,OFF,Auto,0,-1,200,1,3,3,2,-4,P0P33
GB Big Softy,NEGA,WEAK,OFF,Auto,0,0,100,-1,0,-2,0,-2,0
JC Superia 800,NEGA,WEAK,OFF,Daylight,-2,-3,200,1,2,4,1,-1,0
JP Hard Portrait,NEGA,OFF,OFF,Auto,0,0,100,0,0,-4,0,-2,0
JP Soft Portrait,NEGA,OFF,OFF,Auto,0,0,AUTO,0,0,-1,-2,-2,0
MT Pro Neg Hich I,NEGA,OFF,STRONG/OFF,Auto,2,-1,WEAK,0,0,0,0,0,0
NZD Fuji Superia 800,NEGA,STRONG,OFF,Auto,0,0,200,0,1,2,1,-2,0
PE Pro Neg LaRoque,NEGA,WEAK,OFF,Auto,0,0,AUTO,-2,-2,-1,-4,-3,0
PS Pro 400H,NEGA,OFF,OFF,Auto,1,-3,AUTO,-2,0,1,-1,0,P1P00
RR Aged Color,NEGA,STRONG,OFF,Auto,5,-3,400,2,3,4,0,-3,P0P33
RR Analog Color,NEGA,STRONG,STRONG/OFF,Daylight,-3,1,200,3,0,-1,1,-4,P0P67
RR CineStill 800T,NEGA,STRONG,OFF,3200K,0,0,200,3,1,-1,1,-3,P0P33
RR Classic Negative,NEGA,WEAK,OFF,6700K,-2,7,400,3,2,-3,1,-4,0
RR Eterna,NEGA,WEAK,OFF,Auto,2,2,400,-2,-1,-4,1,-4,P1P00
RR Fujicolor 100 Industrial,NEGA,WEAK,WEAK/OFF,3200K,8,-8,400,1,2,1,2,-4,P0P33
RR Fujicolor Pro 400H,NEGA,WEAK,OFF,Auto,2,1,200,0,3,4,0,-3,P0P67
RR Superia 800,NEGA,STRONG,OFF,Auto,-2,-3,200,1,2,4,1,-3,P0P67
RR Warm Contrast,NEGA,STRONG,OFF,Auto,-2,-4,200,1,3,4,1,-4,P0P33
MT Monochrome,BW,OFF,OFF,Auto,0,0,100,-2,0,0,0,0,0
RR Dramatic Monochrome,BW,STRONG,STRONG/OFF,Auto,0,0,200,4,4,0,3,-4,P0P67
NZD Ilford HP-5,BG,STRONG,OFF,Auto,0,0,200,2,1,0,0,-2,0
HF BW,BR,OFF,OFF,Auto,0,0,AUTO,1,2,0,1,-2,0
KM Padilla,BR,STRONG,OFF,Auto,0,0,AUTO,0,3,0,1,0,0
NZD Tri-X,BR,STRONG,OFF,Auto,0,0,200,1,2,0,1,0,0
VM Classic Contrast,BR,WEAK,OFF,Auto,0,0,100,2,1,0,2,-4,0
VM Monochrome R,BR,WEAK,OFF,Auto,0,0,100,0,3,0,1,-4,0
NZD Acros,BYe,WEAK,OFF,Auto,0,0,100,0,1,0,1,-1,0
GB Muted,NEGAhi,WEAK,OFF,Auto,0,0,100,-1,2,-2,0,-2,0
JC Pro Port,NEGAhi,WEAK,OFF,Auto,1,0,AUTO,-2,2,-3,1,-2,0
KM Meyerowitz,NEGAhi,WEAK,OFF,Auto,0,0,AUTO,-1,1,-2,1,-2,0
MT Pro Neg Hich II,NEGAhi,OFF,STRONG/OFF,Auto,2,-1,WEAK,0,0,0,0,0,0
NZD Portra 400,NEGAhi,WEAK,OFF,Auto,0,0,200,-1,1,-2,1,-2,0
PS Fujifilm Superia 100,NEGAhi,WEAK,OFF,UWater,-1,-3,200,-2,2,2,-2,0,P1P00
PS Kodak Gold 200,NEGAhi,OFF,OFF,FLight1,4,-3,100,-2,-1,1,-2,0,P1P00
RR Classic Negative,NEGAhi,WEAK,OFF,FLight1,-2,4,400,2,2,-2,1,-4,P0P67
RR Faded Color Vintage 1/2,NEGAhi,WEAK,STRONG/OFF,Auto,-5,5,200,4,4,4,1,-4,P0P67
